Male,676.315771,4.0,3.0,No
Male,681.578933,2.0,3.0,No
Male,718.9473519999998,2.0,4.0,No
Male,942.631555,3.0,5.0,No
Male,667.3684059999999,3.0,2.0,No
Female,782.1052440000001,4.0,3.0,No
Male,663.157879,4.0,2.0,No
Female,677.3684059999998,2.0,4.0,No
Male,747.8947169999999,3.0,4.0,No
Female,888.421028,4.0,4.0,No
Male,651.0526155,4.0,3.0,No
Female,723.157879,4.0,4.0,No
Female,948.421028,4.0,4.0,No
Female,800.526298,3.0,3.0,No
Female,554.210514,2.0,4.0,No
Female,639.9999869999998,4.0,3.0,No
Male,714.736825,5.0,4.0,No
Male,736.315771,4.0,4.0,No
Male,714.736825,4.0,3.0,No
Male,776.842082,4.0,5.0,No
Female,667.3684059999999,3.0,6.0,No
Female,885.2631359999998,3.0,6.0,No
Male,845.2631359999998,5.0,4.0,No
Male,718.9473519999998,4.0,3.0,No
Female,979.9999740000001,3.0,6.0,No
Male,736.315771,2.0,3.0,Yes
Female,793.6841900000002,3.0,4.0,No
Male,681.578933,3.0,5.0,No
Male,909.9999740000001,4.0,5.0,No
Female,661.578933,4.0,3.0,No
Male,932.631555,3.0,5.0,No
Male,795.7894534999998,4.0,6.0,No
Male,637.3684059999998,4.0,3.0,No
Male,786.315771,3.0,5.0,No
Female,423.684203,3.0,2.0,No
Male,630.526298,3.0,3.0,No
Male,752.1052440000001,3.0,3.0,No
Male,658.9473519999998,4.0,3.0,No
Female,653.6841965,3.0,3.0,Yes
Male,829.473663,4.0,5.0,No
Female,683.157879,4.0,5.0,No
Female,701.0526155,3.0,4.0,No
Female,819.473663,3.0,3.0,No
Female,921.052609,4.0,4.0,No
Female,691.0526155,4.0,2.0,No
Male,726.315771,5.0,3.0,No
Female,562.1052505,4.0,3.0,No
Female,558.4210410000001,4.0,3.0,No
Male,780.526298,4.0,6.0,No
Male,753.6841900000001,4.0,3.0,No
Male,809.473663,4.0,5.0,No
Male,631.0526155,3.0,3.0,No
Male,607.8947235,3.0,3.0,No
Female,704.736825,5.0,4.0,No
Female,694.736825,3.0,3.0,No
Female,416.315784,4.0,1.0,No
Male,647.3684059999999,3.0,3.0,No
Male,716.3157709999998,1.0,4.0,No
Male,607.8947235,4.0,4.0,No
Male,763.6841900000001,4.0,4.0,No
Female,796.315771,5.0,5.0,No
Male,716.3157709999998,3.0,5.0,Yes
Female,849.4736630000001,5.0,6.0,No
Male,762.1052440000001,4.0,4.0,No
Male,826.842082,4.0,6.0,No
Male,691.578933,3.0,3.0,No
Male,682.1052440000001,4.0,3.0,No
Female,767.894717,4.0,4.0,No
Female,671.578933,3.0,3.0,No
Female,802.1052440000001,4.0,3.0,No
Female,777.894717,4.0,4.0,No
Female,948.421028,3.0,6.0,No
Female,873.6841900000001,3.0,4.0,No
Male,678.9473519999998,5.0,5.0,No
Female,599.4736695,3.0,6.0,No
Female,718.9473519999998,3.0,3.0,No
Female,776.315771,2.0,2.0,No
Female,845.2631359999998,3.0,5.0,No
Female,845.2631359999998,3.0,4.0,No
Male,839.4736630000001,3.0,5.0,No
Male,855.2631359999999,4.0,4.0,No
Male,623.157879,3.0,2.0,Yes
Female,748.9473519999999,4.0,3.0,No
Female,859.4736630000001,3.0,5.0,No
Female,631.578933,3.0,5.0,No
Female,655.78946,3.0,2.0,No
Male,939.9999740000001,4.0,4.0,Yes
Female,780.526298,3.0,3.0,No
Male,564.210514,3.0,1.0,No
Male,450.5263071,3.0,4.0,No
Female,752.1052440000001,3.0,5.0,No
